class,correct,total,accuracy
cat,795,1000,0.795
bird,867,1000,0.867
dog,869,1000,0.869
deer,906,1000,0.906
airplane,921,1000,0.921
horse,939,1000,0.939
frog,941,1000,0.941
truck,945,1000,0.945
ship,948,1000,0.948
automobile,965,1000,0.965
