class,correct,total,accuracy
cat,804,1000,0.804
bird,872,1000,0.872
dog,880,1000,0.88
airplane,922,1000,0.922
horse,931,1000,0.931
deer,935,1000,0.935
frog,950,1000,0.95
truck,951,1000,0.951
ship,955,1000,0.955
automobile,969,1000,0.969
