class,correct,total,accuracy
cat,590,1000,0.59
dog,674,1000,0.674
bird,704,1000,0.704
deer,723,1000,0.723
airplane,788,1000,0.788
horse,794,1000,0.794
truck,841,1000,0.841
frog,848,1000,0.848
automobile,878,1000,0.878
ship,885,1000,0.885
