epoch,train_loss,train_accuracy,val_loss,val_accuracy,gradient_norm,epoch_time_sec,peak_memory_mb
1,1.619411,0.400356,1.434173,0.4768,7.142259,44.79,1336.37
2,1.254966,0.542578,1.192957,0.575,6.00418,44.99,1336.62
3,1.06036,0.617422,1.041825,0.6348,5.770316,44.94,1336.62
4,0.914376,0.6744,0.935382,0.6814,5.578763,45.01,1336.62
5,0.78668,0.721933,0.835699,0.7188,5.439662,44.06,1336.62
6,0.699524,0.754556,0.803335,0.7334,5.253498,44.2,1336.62
7,0.62053,0.783089,0.673281,0.7682,5.160357,43.73,1336.62
8,0.564636,0.802933,0.651294,0.7838,5.100956,44.42,1336.62
9,0.512257,0.820311,0.568702,0.8082,5.076143,43.54,1336.62
10,0.469228,0.835267,0.556965,0.812,5.026993,42.48,1336.62
11,0.426884,0.850267,0.524666,0.829,5.061931,43.39,1336.62
12,0.384581,0.866333,0.513463,0.8314,5.100114,46.06,1336.62
13,0.346631,0.879067,0.502125,0.8344,5.113897,43.92,1336.62
14,0.318253,0.8888,0.51972,0.841,5.202715,42.2,1336.62
15,0.289566,0.899111,0.473624,0.8512,5.243191,42.82,1336.62
16,0.262001,0.909422,0.464373,0.8544,5.20875,44.62,1336.62
17,0.244663,0.915422,0.468334,0.8548,5.243047,46.8,1336.62
18,0.228149,0.919911,0.459723,0.8582,5.221601,48.2,1336.62
19,0.220158,0.923022,0.457091,0.8578,5.25298,48.27,1336.62
20,0.215884,0.925778,0.457714,0.8584,5.191597,46.05,1336.62
