epoch,train_loss,train_accuracy,val_loss,val_accuracy,gradient_norm,epoch_time_sec,peak_memory_mb
1,1.60471,0.418133,1.40281,0.5036,4.193838,69.48,3526.46
2,1.090713,0.608111,0.992125,0.6574,2.749836,68.73,3526.46
3,0.882007,0.689178,0.977477,0.6796,2.366588,69.44,3526.46
4,0.734515,0.742644,0.774791,0.7376,2.086929,67.85,3526.46
5,0.651245,0.773911,0.699313,0.7722,1.948326,74.13,3526.46
6,0.580834,0.797644,0.597859,0.8022,1.853546,75.6,3526.46
7,0.529411,0.819644,0.515366,0.8284,1.781522,74.2,3526.46
8,0.477575,0.8366,0.610849,0.7952,1.729344,69.78,3526.46
9,0.438001,0.849422,0.53622,0.8188,1.689564,75.26,3526.46
10,0.395949,0.866022,0.562783,0.8212,1.703884,69.87,3526.46
11,0.357554,0.8754,0.409287,0.8596,1.719047,73.9,3526.46
12,0.319514,0.889711,0.484482,0.8396,1.746903,72.75,3526.46
13,0.279068,0.9046,0.401492,0.8712,1.733427,75.47,3526.46
14,0.243121,0.915844,0.373181,0.8816,1.689421,72.93,3526.46
15,0.19794,0.931422,0.347528,0.8932,1.707233,71.79,3526.46
16,0.169446,0.941933,0.321216,0.906,1.733815,73.49,3526.46
17,0.137998,0.952333,0.289041,0.9156,1.650105,73.53,3526.46
18,0.114392,0.9614,0.282034,0.9154,1.607977,70.89,3526.46
19,0.098394,0.967044,0.287693,0.9186,1.525378,72.25,3526.46
20,0.09103,0.9698,0.286265,0.9214,1.513378,75.19,3526.46
