epoch,train_loss,train_accuracy,val_loss,val_accuracy,gradient_norm,epoch_time_sec,peak_memory_mb
1,1.881589,0.300022,1.62871,0.4026,32.952784,72.57,3525.46
2,1.544939,0.428733,1.481617,0.4544,20.916738,73.52,3525.71
3,1.387117,0.493489,1.307659,0.5274,15.054687,70.71,3525.71
4,1.260328,0.541978,1.177595,0.5776,12.301591,72.43,3525.71
5,1.158969,0.583244,1.104867,0.6096,10.790931,73.51,3525.71
6,1.063094,0.618489,1.044942,0.635,9.904225,72.2,3525.71
7,0.979442,0.650022,0.992627,0.6556,9.292592,74.38,3525.71
8,0.9068,0.677489,0.93109,0.6812,8.853551,74.15,3525.71
9,0.838815,0.7038,0.909795,0.6904,8.388628,74.89,3525.71
10,0.779233,0.725133,0.868425,0.7016,8.196086,75.42,3525.71
11,0.721796,0.744689,0.804401,0.7336,8.034811,73.32,3525.71
12,0.674717,0.7616,0.793063,0.7308,7.931522,71.86,3525.71
13,0.633273,0.775244,0.780158,0.7382,7.920038,73.06,3525.71
14,0.590092,0.792067,0.749059,0.7532,7.854298,74.43,3525.71
15,0.546754,0.807844,0.735176,0.7514,7.872698,74.99,3525.71
16,0.525723,0.816111,0.718951,0.7652,7.948253,73.75,3525.71
17,0.499744,0.824422,0.720672,0.7588,7.945408,74.54,3525.71
18,0.480034,0.832422,0.708616,0.7648,7.902937,72.35,3525.71
19,0.469043,0.836378,0.705536,0.7686,7.898813,71.14,3525.71
20,0.464615,0.837889,0.703991,0.7702,7.900788,70.61,3525.71
